date,cds_spread
2000-01-01,12.04761904761904
2000-02-01,11.142857142856855
2000-03-01,9.695652173912972
2000-04-01,10.444444444444034
2000-05-01,12.181818181818027
2000-06-01,12.863636363636033
2000-07-01,13.38095238095205
2000-08-01,14.956521739130046
2000-09-01,15.666666666667073
2000-10-01,15.285714285714036
2000-11-01,13.636363636364024
2000-12-01,14.947368421052865
2001-01-01,13.681818181817995
2001-02-01,15.249999999999986
2001-03-01,17.227272727272958
2001-04-01,17.210526315788854
2001-05-01,16.318181818181987
2001-06-01,15.000000000000036
2001-07-01,13.40909090909106
2001-08-01,12.608695652173996
2001-09-01,12.700000000000067
2001-10-01,12.04347826087
2001-11-01,12.227272727272886
2001-12-01,13.411764705881968
2002-01-01,6.727272727272826
2002-02-01,7.050000000000001
2002-03-01,7.9000000000000625
2002-04-01,8.476190476190038
2002-05-01,9.22727272727295
2002-06-01,9.250000000000025
2002-07-01,9.26086956521699
2002-08-01,8.045454545455044
2002-09-01,7.476190476191036
2002-10-01,8.608695652173992
2002-11-01,5.238095238095042
2002-12-01,4.444444444443985
2003-01-01,4.0000000000000036
2003-02-01,5.499999999999972
2003-03-01,9.952380952380935
2003-04-01,7.299999999999951
2003-05-01,7.476190476190014
2003-06-01,7.33333333333297
2003-07-01,3.739130434783
2003-08-01,3.000000000000025
2003-09-01,5.8636363636360045
2003-10-01,5.8695652173910595
2003-11-01,5.700000000000038
2003-12-01,4.894736842104841
2004-01-01,2.9047619047620543
2004-02-01,2.999999999999936
2004-03-01,6.652173913043047
2004-04-01,8.29999999999993
2004-05-01,8.666666666667044
2004-06-01,7.727272727272805
2004-07-01,3.3181818181819978
2004-08-01,2.954545454544988
2004-09-01,7.3636363636359725
2004-10-01,8.52380952381
2004-11-01,7.954545454544881
2004-12-01,6.047619047618991
2005-01-01,1.5238095238100158
2005-02-01,5.600000000000005
2005-03-01,5.380952380951998
2005-04-01,5.76190476190499
2005-05-01,7.590909090908982
2005-06-01,7.363636363636017
2005-07-01,6.428571428571006
2005-08-01,6.739130434782981
2005-09-01,6.22727272727297
2005-10-01,5.1428571428569825
2005-11-01,5.181818181817999
2005-12-01,4.238095238094974
2006-01-01,1.863636363636001
2006-02-01,3.7499999999999645
2006-03-01,5.260869565216897
2006-04-01,5.500000000000016
2006-05-01,3.727272727272979
2006-06-01,4.954545454544945
2006-07-01,2.000000000000046
2006-08-01,1.6086956521740081
2006-09-01,1.6190476190479863
2006-10-01,2.2272727272729664
2006-11-01,2.5909090909089993
2006-12-01,3.947368421052966
2007-01-01,5.318181818182044
2007-02-01,5.099999999999927
2007-03-01,5.9090909090910415
2007-04-01,5.789473684210034
2007-05-01,6.09523809523802
2007-06-01,5.952380952380931
2007-07-01,7.500000000000018
2007-08-01,9.347826086956967
2007-09-01,13.400000000000034
2007-10-01,11.739130434783096
2007-11-01,14.090909090908887
2007-12-01,14.411764705881946
2008-01-01,12.227272727272886
2008-02-01,12.714285714285989
2008-03-01,22.052631578947015
2008-04-01,22.999999999999954
2008-05-01,20.809523809524055
2008-06-01,20.952380952380967
2008-07-01,19.95652173913003
2008-08-01,19.761904761904958
2008-09-01,26.590909090908887
2008-10-01,29.652173913043
2008-11-01,42.34999999999998
2008-12-01,49.21052631578906
2009-01-01,52.90476190476201
2009-02-01,55.25000000000002
2009-03-01,63.04545454545498
2009-04-01,52.70000000000002
2009-05-01,42.899999999999984
2009-06-01,42.63636363636398
2009-07-01,39.217391304348006
2009-08-01,28.476190476189966
2009-09-01,32.68181818181799
2009-10-01,35.090909090909065
2009-11-01,34.285714285713986
2009-12-01,34.14999999999999
2010-01-01,26.250000000000018
2010-02-01,33.00000000000001
2010-03-01,33.782608695651994
2010-04-01,33.55000000000001
2010-05-01,34.57142857142901
2010-06-01,52.68181818181796
2010-07-01,37.40909090909108
2010-08-01,33.00000000000001
2010-09-01,37.954545454545
2010-10-01,37.42857142857101
2010-11-01,46.727272727273
2010-12-01,42.52380952380999
2011-01-01,42.33333333333293
2011-02-01,40.10000000000002
2011-03-01,39.82608695652199
2011-04-01,34.947368421053014
2011-05-01,42.909090909091006
2011-06-01,53.90909090909099
2011-07-01,65.619047619048
2011-08-01,76.65217391304301
2011-09-01,81.09090909090901
2011-10-01,98.76190476190496
2011-11-01,153.59090909090904
2011-12-01,123.23809523809501
2012-01-01,135.90909090909105
2012-02-01,116.80952380952401
2012-03-01,111.95454545454501
2012-04-01,136.578947368421
2012-05-01,141.318181818182
2012-06-01,126.95238095238099
2012-07-01,103.77272727272697
2012-08-01,77.826086956522
2012-09-01,74.95000000000003
2012-10-01,72.304347826087
2012-11-01,80.409090909091
2012-12-01,71.05882352941197
2013-01-01,65.77272727272698
2013-02-01,69.65
2013-03-01,71.54999999999998
2013-04-01,60.380952380952
2013-05-01,57.590909090909
2013-06-01,67.95
2013-07-01,68.434782608696
2013-08-01,62.49999999999998
2013-09-01,60.19047619047602
2013-10-01,62.78260869565202
2013-11-01,59.28571428571401
2013-12-01,53.222222222222015
2014-01-01,62.40909090909099
2014-02-01,69.15
2014-03-01,64.142857142857
2014-04-01,57.34999999999999
2014-05-01,51.285714285714
2014-06-01,44.571428571428996
2014-07-01,44.56521739130401
2014-08-01,45.38095238095239
2014-09-01,42.8636363636364
2014-10-01,46.9090909090909
2014-11-01,42.099999999999994
2014-12-01,33.105263157894704
2015-01-01,28.000000000000004
2015-02-01,29.799999999999997
2015-03-01,28.272727272727305
2015-04-01,31.8
2015-05-01,33.42105263157901
2015-06-01,40.7272727272727
2015-07-01,40.000000000000014
2015-08-01,40.1428571428571
2015-09-01,34.59090909090911
2015-10-01,35.1818181818182
2015-11-01,36.3809523809524
2015-12-01,38.45
2016-01-01,40.949999999999996
2016-02-01,41.7142857142857
2016-03-01,33.8571428571429
2016-04-01,37.5714285714286
2016-05-01,37.7142857142857
2016-06-01,40.68181818181818
2016-07-01,32.4285714285714
2016-08-01,28.1739130434783
2016-09-01,26.40909090909091
2016-10-01,32.800000000000004
2016-11-01,48.09090909090911
2016-12-01,49.809523809523796
2017-01-01,60.90909090909089
2017-02-01,77.2
2017-03-01,67.17391304347831
2017-04-01,65.4444444444444
2017-05-01,47.36363636363641
2017-06-01,40.952380952381
2017-07-01,38.428571428571395
2017-08-01,36.3913043478261
2017-09-01,35.2857142857143
2017-10-01,43.75000000000001
2017-11-01,41.181818181818194
2017-12-01,37.315789473684205
2018-01-01,37.5454545454545
2018-02-01,32.099999999999994
2018-03-01,30.047619047619
2018-04-01,30.000000000000004
2018-05-01,34.0
2018-06-01,42.2857142857143
2018-07-01,39.545454545454504
2018-08-01,40.913043478260896
2018-09-01,39.95
2018-10-01,42.09090909090909
2018-11-01,44.5909090909091
2018-12-01,51.2941176470588
2019-01-01,51.7272727272727
2019-02-01,49.45
2019-03-01,42.9047619047619
2019-04-01,40.949999999999996
2019-05-01,43.4545454545455
2019-06-01,39.526315789473706
2019-07-01,31.8260869565217
2019-08-01,30.909090909090903
2019-09-01,32.4761904761905
2019-10-01,30.954545454545503
2019-11-01,33.2380952380952
2019-12-01,33.9444444444444
2020-01-01,30.3636363636364
2020-02-01,28.6
2020-03-01,49.136363636363605
2020-04-01,50.95
2020-05-01,48.64999999999999
2020-06-01,39.4285714285714
2020-07-01,37.304347826087
2020-08-01,35.33333333333329
2020-09-01,31.40909090909091
2020-10-01,30.727272727272698
2020-11-01,29.476190476190496
2020-12-01,27.85
2021-01-01,27.35
2021-02-01,29.549999999999997
2021-03-01,29.478260869565197
2021-04-01,31.5
2021-05-01,43.35
2021-06-01,43.8636363636364
2021-07-01,44.136363636363605
2021-08-01,41.8636363636364
2021-09-01,40.2727272727273
2021-10-01,40.4285714285714
2021-11-01,41.3636363636364
2021-12-01,43.4285714285714
2022-01-01,42.4761904761905
2022-02-01,53.0
2022-03-01,49.826086956521706
2022-04-01,53.3684210526316
2022-05-01,56.727272727272705
2022-06-01,61.5
2022-07-01,62.809523809524
2022-08-01,65.56521739130399
2022-09-01,61.454545454545006
2022-10-01,58.333333333332995
2022-11-01,51.36363636363601
2022-12-01,53.47619047619001
2023-01-01,49.727272727272975
2023-02-01,49.95000000000003
2023-03-01,53.65217391304293
2023-04-01,54.05555555555601
2023-05-01,59.772727272727046
2023-06-01,55.36363636363602
2023-07-01,58.333333333332995
2023-08-01,56.43478260869599
2023-09-01,57.857142857143
2023-10-01,62.68181818181802
2023-11-01,58.86363636363598
2023-12-01,54.78947368421099
2024-01-01,56.54545454545507
2024-02-01,51.809523809524016
2024-03-01,47.04999999999999
2024-04-01,52.42857142857096
2024-05-01,51.04545454545497
2024-06-01,66.54999999999998
2024-07-01,68.17391304347802
2024-08-01,73.22727272727305
2024-09-01,73.285714285714
2024-10-01,76.04347826087002
2024-11-01,78.42857142857098
2024-12-01,83.11111111111096
