specification,model,nominal_coverage,empirical_coverage,mean_width,median_width,n_cal,n_eval
M0,AR(1),0.9,0.704,6718.3,6718.3,54,54
M0,Ridge,0.9,0.852,6297.0,6297.0,54,54
M0,LASSO,0.9,0.815,5763.1,5763.1,54,54
M0,XGBoost,0.9,0.87,5854.5,5854.5,54,54
M0,Combination,0.9,0.833,5995.2,5995.2,54,54
M1,AR(1),0.9,0.704,6718.3,6718.3,54,54
M1,Ridge,0.9,0.833,5947.6,5947.6,54,54
M1,LASSO,0.9,0.833,5782.2,5782.2,54,54
M1,XGBoost,0.9,0.926,6662.3,6662.3,54,54
M1,Combination,0.9,0.889,6351.9,6351.9,54,54
M2,AR(1),0.9,0.704,6718.3,6718.3,54,54
M2,Ridge,0.9,0.833,6236.5,6236.5,54,54
M2,LASSO,0.9,0.796,5324.5,5324.5,54,54
M2,XGBoost,0.9,0.815,5552.4,5552.4,54,54
M2,Combination,0.9,0.815,5516.3,5516.3,54,54
M3,AR(1),0.9,0.704,6718.3,6718.3,54,54
M3,Ridge,0.9,0.889,6608.3,6608.3,54,54
M3,LASSO,0.9,0.815,5455.1,5455.1,54,54
M3,XGBoost,0.9,0.926,6761.4,6761.4,54,54
M3,Combination,0.9,0.87,5974.6,5974.6,54,54
M4,AR(1),0.9,0.704,6718.3,6718.3,54,54
M4,Ridge,0.9,0.852,6263.9,6263.9,54,54
M4,LASSO,0.9,0.815,5756.4,5756.4,54,54
M4,XGBoost,0.9,0.796,5663.4,5663.4,54,54
M4,Combination,0.9,0.852,6122.3,6122.3,54,54
M5,AR(1),0.9,0.704,6718.3,6718.3,54,54
M5,Ridge,0.9,0.852,5875.5,5875.5,54,54
M5,LASSO,0.9,0.833,5420.4,5420.4,54,54
M5,XGBoost,0.9,0.889,7056.5,7056.5,54,54
M5,Combination,0.9,0.852,5890.4,5890.4,54,54
