check,specification,model,rmse
window_45,M0,Ridge,1910.5442739492844
window_45,M0,XGBoost,2006.7427253705953
window_45,M5,Ridge,1805.361789203694
window_45,M5,XGBoost,1992.8534297869476
window_75,M0,Ridge,2100.162525410397
window_75,M0,XGBoost,2196.765312718142
window_75,M5,Ridge,1969.8072467076993
window_75,M5,XGBoost,2129.221343812337
window_90,M0,Ridge,2215.116064717788
window_90,M0,XGBoost,2352.031071651244
window_90,M5,Ridge,2088.119900779489
window_90,M5,XGBoost,2279.37468392401
crisis_COVID,M0,Ridge,2674.444072236323
crisis_COVID,M0,XGBoost,2591.4243428274767
crisis_COVID,M5,Ridge,2711.0203428614377
crisis_COVID,M5,XGBoost,2526.7926990183564
crisis_Energy_Crisis,M0,Ridge,2485.0006633070257
crisis_Energy_Crisis,M0,XGBoost,2503.099398275905
crisis_Energy_Crisis,M5,Ridge,2035.349447834962
crisis_Energy_Crisis,M5,XGBoost,2644.8550589000406
